epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 3.16171875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 20, 0
.01, 3.175390625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1685546875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.17197265625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.170263671875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.1711181640625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.17069091796875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.170904541015625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707977294921874, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707443237304687, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707176208496093, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.170730972290039, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.170737648010254, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707343101501464, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.1707359790802, 1, 50, 19.0, 2.0, 9.5, 23.0, 3, 21, 1
.01, 2.15, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 7, 0
.01, 3.025, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 10, 0
.01, 3.4625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 14, 0
.01, 3.68125, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 2, 0
.01, 3.571875, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 16, 0
.01, 3.6265625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 18, 0
.01, 3.65390625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.667578125, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.6607421875, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.65732421875, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.659033203125, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
